Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,10,10,0,,,_o_se,mouse,old,mouse,[np.float64(-0.07)],[np.float64(-0.30375)],[1],[0],[0],[5.661743399919942],['submit_text'],,,,,0,10,10,8,61.3983617,,,,,,,,61.3893776,61.3983617,61.3983617,61.3983617,0.0025932,67.0514317,mouse,[np.float64(-0.07)],[np.float64(-0.30375)],[1],[0],[0],[5.661743399919942],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,11,11,0,,,t_hi_t,tshirt,old,tshirt,[np.float64(-0.07125)],[np.float64(-0.30125)],[1],[0],[0],[4.295566100161523],['submit_text'],,,,,0,11,11,7,67.0788246,,,,,,,,67.0546622,67.0788246,67.0788246,67.0788246,0.0030972,71.3505603,tshirt,[np.float64(-0.07125)],[np.float64(-0.30125)],[1],[0],[0],[4.295566100161523],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,12,12,0,,,p_nc_l,pencil,new,pencil,[np.float64(-0.06625)],[np.float64(-0.30875)],[1],[0],[0],[3.6965478998608887],['submit_text'],,,,,0,12,12,16,71.3763356,,,,,,,,71.353639,71.3763356,71.3763356,71.3763356,0.0029554,75.0505122,pencil,[np.float64(-0.06625)],[np.float64(-0.30875)],[1],[0],[0],[3.6965478998608887],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,13,13,0,,,bo_t_e,bottle,new,bottle,[np.float64(-0.0725)],[np.float64(-0.305)],[1],[0],[0],[5.061665900051594],['submit_text'],,,,,0,13,13,18,75.0753053,,,,,,,,75.0530939,75.0753053,75.0753053,75.0753053,0.0024624,80.115053,bottle,[np.float64(-0.0725)],[np.float64(-0.305)],[1],[0],[0],[5.061665900051594],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,14,14,0,,,v_s_,vase,new,vase,[np.float64(-0.04625)],[np.float64(-0.3075)],[1],[0],[0],[4.60701259993948],['submit_text'],,,,,0,14,14,17,80.1399679,,,,,,,,80.1195552,80.1399679,80.1399679,80.1399679,0.0043639,84.7268365,vase,[np.float64(-0.04625)],[np.float64(-0.3075)],[1],[0],[0],[4.60701259993948],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,15,15,0,,,c_s_io_,cushion,old,casino,[np.float64(-0.0975)],[np.float64(-0.31875)],[1],[0],[0],[10.18717520008795],['submit_text'],,,,,0,15,15,1,84.7537196,,,,,,,,84.7304724,84.7537196,84.7537196,84.7537196,0.0035618,94.9180779,casino,[np.float64(-0.0975)],[np.float64(-0.31875)],[1],[0],[0],[10.18717520008795],['submit_text'],94.7675831,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,16,16,0,,,p_str_,pastry,old,pastry,[np.float64(-0.06875)],[np.float64(-0.295)],[1],[0],[0],[3.9604291999712586],['submit_text'],,,,,0,16,16,9,94.9337575,,,,,,,,94.9221137,94.9337575,94.9337575,94.9337575,0.0038686,98.8828774,pastry,[np.float64(-0.06875)],[np.float64(-0.295)],[1],[0],[0],[3.9604291999712586],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,17,17,0,,,_o_rd,board,old,,[np.float64(-0.06875)],[np.float64(-0.295)],[1],[0],[0],[4.701914399862289],['submit_text'],,,,,0,17,17,4,98.8991272,,,,,,,,98.8850495,98.8991272,98.8991272,98.8991272,0.0020936,103.5873678,,[np.float64(-0.06875)],[np.float64(-0.295)],[1],[0],[0],[4.701914399862289],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,18,18,0,,,ta_l_,table,new,table,[np.float64(-0.07)],[np.float64(-0.29125)],[1],[0],[0],[2.9274683000985533],['submit_text'],,,,,0,18,18,15,103.6122264,,,,,,,,103.5920234,103.6122264,103.6122264,103.6122264,0.004343,106.5198952,table,[np.float64(-0.07)],[np.float64(-0.29125)],[1],[0],[0],[2.9274683000985533],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,19,19,0,,,_ha_t,chart,old,chart,[np.float64(-0.07)],[np.float64(-0.29125)],[1],[0],[0],[4.0737580000422895],['submit_text'],,,,,0,19,19,6,106.5445271,,,,,,,,106.5231843,106.5445271,106.5445271,106.5445271,0.0031688,110.5972881,chart,[np.float64(-0.07)],[np.float64(-0.29125)],[1],[0],[0],[4.0737580000422895],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,prop of hit from study list,,,,17,0.894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,prop of hit for non primed words,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,priming score,,-0.105263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,prop of hit from study list,,,,17,0.894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,prop of hit for non primed words,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,priming score,,-0.105263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
